,"白骨精見了孫悟空","現原形了"
,"白骨精開口","不講人話"
,"白骨精騙唐僧","一計不成又生一計"
,"白骨精說人話","妖言惑眾"
,"白骨精想吃唐僧肉","痴心妄想"
,"白骨精遇上孫悟空","原形畢露"
,"白骨精照鏡子","裡外不是人"
,"白骨精裝新娘","妖裡妖氣"
,"白鶴站在雞群裡","突出"
,"白灰店裡買眼藥","找錯了門（比喻門路不對。）"
,"白蠟樹上結桂花","根子不正"
,"白臉蛋上打粉","可有可無"
,"白臉奸臣出場","惡相"
,"白露過後的莊稼",""
,"白蘿蔔扎刀子","不出血的東西（？比喻不肯多出錢。？比喻不爽快。）"
,"白毛烏鴉","與眾不同"
,"白米換糠","有福不會享"
,"白娘娘鬥法海","精打光"
,"白娘娘喝了雄黃酒","現了原形"
,"白娘子鬥法海","精打-光"
,"白娘子喝了雄黃酒","現了原形"
,"白娘子救許仙","盡心盡力"
,"白娘子突斷橋","想起舊情來"
,"白娘子壓在雷鋒塔下","總有人搭救"
,"白娘子遇許仙","千里姻緣一線牽"
,"白日做夢","胡思亂想"
,"白水鍋裡揭豆腐皮","辦不到"
,"白水煮冬瓜","沒啥滋味"
,"白水煮豆腐","淡而無味"
,"白素貞不捨許仙","恩愛難分"
,"白素貞哭斷橋","想起舊情"
,"白糖拌苦瓜","又苦又甜（比喻矛盾的心理狀態或複雜的感情。）"
,"白糖拌蜜糖","甜上加甜"
,"白天打燈籠","白搭"
,"白天照電筒","多此一舉"
,"白眼狼戴草帽","變不了人；假充善人（比喻心腸歹毒的壞人偽裝成好人，進行欺騙。）"
,"白眼狼戴眼鏡","冒充好了"
,"白楊樹葉子","兩面光"
,"白衣秀士當寨主","容不得人"
,"白蟻蛀觀音","自身難保"
,"白蟻鑽過的料","壞透了"
,"白紙黑字","黑白分明"
,"白紙上畫黑道","抹不掉；不能容人"
,"白紙上寫黑字","賴不掉；變不了；明擺著"
,"百尺竿頭掛剪刀","高才（裁）"
,"百合地裡栽甘蔗","苦根甜苗"
,"百家姓不念第一個字","開口就是錢（比喻眼睛裡只有錢。）"
,"百家姓讀掉頭個字","開口就說錢；錢字當頭"
,"百家姓裡的老四","說的是理（李）"
,"百家姓上少了第二姓","缺錢"
,"百家姓少了第二姓","沒錢"
,"百斤擔子加鐵砣","重任在肩"
,"百里草原安家","孤孤單單"
,"百里長的公路不用拐彎","太直了"
,"百里舜（春秋時虞國大夫，後成為秦國左相）認妻","位高不忘舊情"
,"百靈鳥碰到鸚鵡","會唱的遇上會說的（比喻各有特長。）"
,"百靈戲牡丹","鳥語花香"
,"百靈遇鸚鵡","會唱的碰到會說的"
,"百米短跑","有始有終"
,"百年的大樹","根深蒂固"
,"百年的瓜子千年的樹","根深蒂固"
,"百年的歪脖樹","定型了"
,"百年鳥龜下臭卵","老壞蛋"
